Date,Open,High,Low,Volume,Close
07-01-2016,42.838001,43.688,42.734001,17771500,43.130001
08-01-2016,43.571999,44.088001,42.153999,18140500,42.200001
11-01-2016,42.801998,42.889999,40.599998,20457000,41.57
12-01-2016,42.32,42.748001,41.062,15459500,41.993999
13-01-2016,42.402,42.529999,40,20632000,40.062
14-01-2016,40.442001,42,38.675999,32453500,41.236
15-01-2016,39.793999,41.014,39.450001,27893000,40.998001
19-01-2016,41.742001,42.094002,40.155998,20193500,40.944
20-01-2016,39.880001,40.256001,38.25,29193000,39.740002
21-01-2016,40.310001,40.646,39.004002,15831000,39.993999
22-01-2016,40.959999,41.099998,39.806,15620500,40.509998
25-01-2016,40.012001,40.714001,39.175999,13493500,39.276001
26-01-2016,39.34,39.563999,37.776001,24821000,38.712002
27-01-2016,38.476002,38.652,37.153999,18086000,37.613998
28-01-2016,38.158001,38.256001,36.481998,22964000,37.939999
29-01-2016,37.990002,38.748001,37.616001,14261500,38.240002
01-02-2016,37.751999,39.903999,36.549999,26488000,39.388
02-02-2016,38.484001,38.624001,36.046001,28868000,36.556
03-02-2016,36.717999,36.787998,34.035999,39657000,34.695999
04-02-2016,34.139999,35.195999,33.397999,21927000,35.066002
05-02-2016,34.259998,34.599998,31.548,47188000,32.52
08-02-2016,31.42,31.43,29.200001,46565000,29.598
09-02-2016,28.464001,31.958,28.209999,43258000,29.65
10-02-2016,30.1,30.993999,28.348,52032500,28.733999
11-02-2016,30.4,32.652,29.4,71262000,30.094
12-02-2016,31,31.402,28.74,36179000,30.208
16-02-2016,31.74,32.59,30.822001,27969000,31.034
17-02-2016,31.799999,33.868,31.336,29126000,33.736
18-02-2016,34.484001,34.59,32.953999,19438000,33.354
19-02-2016,32.731998,33.498001,32.5,14797000,33.316002
22-02-2016,34.023998,35.782001,33.970001,25300500,35.548
23-02-2016,35.231998,36.346001,34.736,29922000,35.442001
24-02-2016,34.549999,35.900002,33.568001,26978000,35.799999
25-02-2016,35.73,37.703999,35.040001,28753500,37.486
26-02-2016,37.740002,38.400002,37,30325500,38.068001
29-02-2016,38.48,39.27,37.844002,22495000,38.386002
01-03-2016,38.849998,39.189999,36.540001,33561000,37.27
02-03-2016,36.745998,37.703999,36.299999,24312000,37.667999
03-03-2016,37.655998,39.484001,36.844002,24145000,39.147999
04-03-2016,39.599998,40.806,39.5,32445500,40.208
07-03-2016,39.535999,41.939999,39.48,26647000,41.057999
08-03-2016,40.700001,41.5,40.439999,20893500,40.52
09-03-2016,40.903999,41.874001,40.557999,16043000,41.743999
10-03-2016,42,42.658001,40.133999,25962500,41.035999
11-03-2016,41.585999,41.883999,41.066002,16715500,41.5
14-03-2016,42.529999,43.344002,42.127998,20328500,43.029999
15-03-2016,42.854,43.793999,42.299999,15902500,43.667999
16-03-2016,43.599998,44.515999,43.403999,17583500,44.386002
17-03-2016,44.293999,45.700001,44,18914500,45.276001
18-03-2016,45.82,46.896,45.612,23559000,46.548
21-03-2016,47.068001,47.976002,47,26539000,47.664001
22-03-2016,47.442001,47.798,46.512001,21580000,46.848
23-03-2016,46.473999,46.945999,44.405998,24744000,44.515999
24-03-2016,43.155998,45.778,43,24804500,45.549999
28-03-2016,46.321999,46.962002,45,19628500,46.051998
29-03-2016,45.978001,46.476002,45.066002,20071500,46.026001
30-03-2016,47.018002,47.099998,45.299999,20165000,45.377998
31-03-2016,45.868,47.484001,45.001999,40064500,45.953999
01-04-2016,48.966,49.580002,46.650002,79987500,47.518002
04-04-2016,49.824001,50.424,48.728001,67376500,49.397999
05-04-2016,48.099998,51.312,48,49743500,51.094002
06-04-2016,50.793999,53.548,50.689999,58527500,53.084
07-04-2016,53.290001,53.868,50.902,44281000,51.439999
08-04-2016,52.099998,52.164001,49.604,36819500,50.014
11-04-2016,50.200001,51.798,49.060001,45808500,49.984001
12-04-2016,49.900002,50.360001,48.726002,28816000,49.563999
13-04-2016,49.702,51.099998,49.466,24628000,50.905998
14-04-2016,50.599998,51.368,50.209999,20661000,50.372002
15-04-2016,50.262001,50.919998,49.824001,18762000,50.902
18-04-2016,50.445999,51.661999,50.332001,21357000,50.776001
19-04-2016,50.624001,50.874001,48.25,31787500,49.473999
20-04-2016,49.251999,50.731998,48.299999,25970500,49.993999
21-04-2016,49.798,50.18,49.382,13915500,49.658001
22-04-2016,49.778,50.799999,49.141998,18931500,50.75
25-04-2016,50.602001,51.476002,50.152,18351500,50.363998
26-04-2016,50.41,51.146,49.877998,16119000,50.748001
27-04-2016,50.549999,51,49.880001,16029000,50.293999
28-04-2016,49.970001,50.686001,49.487999,12595000,49.542
29-04-2016,49.627998,49.686001,47.562,27069000,48.152
02-05-2016,48.299999,48.638,46.964001,19219500,48.360001
03-05-2016,47.472,47.782001,46.324001,21511000,46.464001
04-05-2016,46.057999,46.891998,44.080002,43502500,44.512001
05-05-2016,45.692001,45.728001,41.958,56274000,42.306
06-05-2016,42.174,43.273998,41.622002,28426000,42.986
09-05-2016,43.144001,43.23,41.360001,23882000,41.784
10-05-2016,41.509998,41.894001,41,20353000,41.737999
11-05-2016,41.518002,43.096001,41.209999,25809500,41.792
12-05-2016,42.287998,42.334,40.731998,18252500,41.456001
13-05-2016,41.556,42.240002,41.34,14114000,41.521999
16-05-2016,41.630001,42.630001,41.584,14747000,41.658001
17-05-2016,41.810001,41.964001,40.804001,14218000,40.931999
18-05-2016,41.830002,43.062,41.549999,28087500,42.234001
19-05-2016,42.723999,43.358002,41.459999,34331500,43.042
20-05-2016,43.397999,44.110001,43.27,45035500,44.056
23-05-2016,43.973999,44.52,43.172001,25512500,43.243999
24-05-2016,43.32,43.748001,43.035999,15069000,43.582001
25-05-2016,43.582001,44.271999,43.301998,15634000,43.916
26-05-2016,44.099998,45.051998,43.810001,20362000,45.023998
27-05-2016,44.998001,45.186001,44.150002,18251500,44.608002
31-05-2016,44.608002,44.950001,44.299999,13945000,44.646
01-06-2016,44.296001,44.48,43.377998,14913500,43.911999
02-06-2016,43.917999,43.981998,43.422001,10164000,43.792
03-06-2016,44,44.388,43.602001,11145000,43.798
06-06-2016,43.599998,44.18,43.09,11247500,44.136002
07-06-2016,44.448002,46.888,44.304001,31068000,46.467999
08-06-2016,46.759998,48.169998,46.521999,29860000,47.104
09-06-2016,46.995998,47.066002,45.411999,22460500,45.872002
10-06-2016,45.478001,45.594002,43.683998,30133000,43.757999
